Room,Type,Max Occupancy,Availability
111,Male,2,TRUE
112,Female,2,TRUE
113,Female,2,TRUE
114,Male,2,TRUE
115,Female,3,TRUE
121,Male,3,TRUE
123,Female,4,TRUE
131,Female,3,TRUE
133,Male,4,TRUE
141,Male,4,TRUE
142,Male,4,TRUE
151,Female,4,TRUE
161,Female,8,TRUE
171,Male,2,TRUE
172,Male,2,TRUE
173,Male,2,TRUE
174,Freshman,2,FALSE
181,Freshman,2,FALSE
182,Freshman,2,FALSE
183,Female,2,TRUE
184,Freshman,2,FALSE
213,Female,2,TRUE
215,Female,2,TRUE
217,Male,2,TRUE
218,Single,1,FALSE
223,Male,3,TRUE
224,Male,3,TRUE
231,Female,2,TRUE
232,Single,1,FALSE
233,Female,3,TRUE
234,Female,3,TRUE
241,Male,4,TRUE
242,Male,4,TRUE
251,Female,4,TRUE
252,Female,4,TRUE
261,Female,8,TRUE
271,Female,2,TRUE
272,Female,2,TRUE
273,Female,2,TRUE
274,Male,2,TRUE
275,Freshman,2,FALSE
276,Female,2,TRUE
281,Male,8,TRUE
291,Male,3,TRUE
292,Single,1,FALSE
293,Male,2,TRUE
294,Male,3,TRUE
295,Freshman,4,FALSE
301,Male,2,TRUE
302,Female,2,TRUE
304,Single,1,FALSE
305,Female,3,TRUE
306,Freshman,3,FALSE
311,Male,2,TRUE
312,Female,2,TRUE
313,Female,2,TRUE
314,Female,2,TRUE
315,Male,2,TRUE
316,Freshman,2,FALSE
331,Male,2,TRUE
332,Female,2,TRUE
333,Freshman,3,FALSE
334,Male,2,TRUE
361,Female,8,TRUE
371,Female,2,TRUE
372,Male,2,TRUE
373,Male,2,TRUE
374,Female,2,TRUE
375,Female,2,TRUE
376,Male,2,TRUE
381,Male,8,TRUE
394,Single,1,FALSE
395,Female,3,TRUE
411,Male,2,TRUE
412,Freshman,2,FALSE
413,Male,2,TRUE
414,Male,2,TRUE
461,Male,8,TRUE
471,Female,2,TRUE
472,Freshman,2,FALSE
473,Female,2,TRUE
474,Freshman,2,FALSE
475,Female,2,TRUE
476,Male,2,TRUE
481,Male,8,TRUE
494,Single,1,FALSE
495,Female,2,TRUE
511,Female,4,TRUE
512,Freshman,4,FALSE
595,Freshman,4,FALSE
